"Country","Payloads_Active_Diff","Payloads_Total_Diff","Payloads_Decayed_Diff","Debris_Total_Diff","Debris_Decayed_Diff","Debris_OnOrbit_Diff","All_OnOrbit_Diff","All_Decayed_Diff","All_Total_Diff"
"ALG",0,0,0,0,0,0,0,0,0
"ANG",0,1,0,0,0,0,1,0,1
"ARGN",0,28,0,0,0,0,28,0,28
"ASRA",0,0,0,0,0,0,0,0,0
"AUS",0,9,1,0,0,0,8,1,9
"AZER",0,0,0,0,0,0,0,0,0
"BEL",0,4,0,0,0,0,4,0,4
"BELA",0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0
"BHUT",0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0
"BRAZ",1,5,0,0,0,0,5,0,5
"BUL",0,2,0,0,0,0,2,0,2
"CA",-297,-274,-300,0,0,0,-274,0,-274
"CHLE",0,3,0,0,0,0,3,0,3
"CIS",-3,68,-10,54,26,28,81,41,122
"COL",0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0
"CZCH",1,4,0,0,0,0,4,0,4
"DEN",0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0
"EGYP",2,3,-1,0,0,0,3,0,3
"EST",0,1,0,0,0,0,1,0,1
"FIN",2,19,0,0,0,0,19,0,19
"FR",3,20,0,13,0,13,33,0,33
"GER",-3,10,-15,0,0,0,15,-5,10
"GHA",0,0,0,0,0,0,0,0,0
"GREC",0,0,0,0,0,0,0,0,0
"GUAT",0,0,0,0,0,0,0,0,0
"HUN",0,4,2,0,0,0,2,2,4
"IND",-15,-7,-25,4,0,4,1,-4,-3
"INDO",0,0,-1,0,0,0,0,0,0
"IRAN",0,3,1,2,0,2,4,1,5
"IRAQ",0,0,0,0,0,0,0,0,0
"ISRA",3,14,0,1,1,0,14,1,15
"IT",1,16,-1,0,0,0,16,0,16
"JOR",0,0,0,0,0,0,0,0,0
"JPN",-13,9,-23,7,2,5,17,-1,16
"KAZ",0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0
"KWT",0,1,0,0,0,0,1,0,1
"LAOS",0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0
"LTU",0,6,-2,0,0,0,6,0,6
"LUXE",0,12,0,0,0,0,12,0,12
"MA",0,0,0,0,0,0,0,0,0
"MALA",0,1,0,0,0,0,1,0,1
"MDA",0,0,0,0,0,0,0,0,0
"MEX",1,2,0,0,0,0,2,0,2
"MMR",0,0,0,0,0,0,0,0,0
"MNG",0,0,0,0,0,0,0,0,0
"MUS",0,0,0,0,0,0,0,0,0
"NETH",0,4,0,0,0,0,4,0,4
"NIG",0,0,0,0,0,0,0,0,0
"NKOR",0,0,0,0,0,0,0,0,0
"NOR",0,4,0,0,0,0,4,0,4
"NPL",0,0,0,0,0,0,0,0,0
"NZ",0,20,0,0,0,0,20,0,20
"PAKI",0,0,0,0,0,0,0,0,0
"PERU",0,0,0,0,0,0,0,0,0
"POL",0,8,0,0,0,0,8,0,8
"POR",0,0,0,0,0,0,0,0,0
"PRC",-43,239,-130,166,62,104,367,38,405
"PRY",0,0,0,0,0,0,0,0,0
"QATR",0,0,0,0,0,0,0,0,0
"ROC",6,9,0,0,0,0,9,0,9
"ROM",0,0,0,0,0,0,0,0,0
"RP",0,0,0,0,0,0,0,0,0
"RWA",0,1,0,0,0,0,1,0,1
"SAFR",0,3,0,0,0,0,3,0,3
"SAUD",0,1,0,0,0,0,1,0,1
"SDN",1,1,0,0,0,0,1,0,1
"SING",0,2,0,0,0,0,2,0,2
"SK",-12,-16,-16,0,0,0,-12,-4,-16
"SKOR",0,11,0,1,0,1,12,0,12
"SPN",0,23,0,0,0,0,22,1,23
"SVN",0,3,0,0,0,0,3,0,3
"SWED",0,0,0,0,0,0,0,0,0
"SWTZ",0,10,-1,0,0,0,10,0,10
"THAI",1,4,0,0,0,0,4,0,4
"TMMC",0,0,0,0,0,0,0,0,0
"TUN",0,1,0,0,0,0,1,0,1
"TURK",0,4,0,0,0,0,4,0,4
"UAE",0,7,0,0,0,0,7,0,7
"UK",-658,-234,-664,0,0,0,-235,1,-234
"UKR",0,1,0,0,0,0,1,0,1
"URY",0,0,0,0,0,0,0,0,0
"US",-3707,176,-3611,92,44,48,-9,277,268
"USBZ",0,0,0,0,0,0,0,0,0
"VENZ",0,0,0,0,0,0,0,0,0
"VTNM",0,0,-1,0,0,0,0,0,0
